26-04-29  21:20:09,1090.0,chicken,non veg
26-04-29  21:20:40,1090.0,chicken,non veg

29-04-26  21:23:24,1030.0,drinks,full
29-04-26  21:25:12,112.0,d,dd
29-04-26  21:40:29,100.0,233,234
29-04-26  21:43:38,1.0,1407,cloths
29-04-26  21:44:17,1000.0,shopping,grocery
29-04-26  21:45:45,1000.0,,33
29-04-26  21:45:51,1000.0,22,2
29-04-26  21:46:03,1000.0,1,w1
30-04-26  21:25:40,70.0,tobaco,smoking
30-04-26  21:25:49,70.0,j,h
30-04-26  21:25:56,70.0,jhgf4,uygf
30-04-26  21:26:01,70.0,jh,h
30-04-26  21:26:29,2490.0,hjyugcx,gutc
30-04-26  21:26:36,2490.0,gfdasc,ytrdfg
30-04-26  21:26:40,2490.0,gdf,bvb
02-05-26  14:28:57,1000.0,drinks,alcjo
02-05-26  14:29:13,1000.0,drinks,alcjo
02-05-26  14:29:23,1000.0,skdn,sfksfn
02-05-26  19:35:30,8560.0,drinkss,don
05-05-26  19:28:20,1000.0,mango,10kgs
05-05-26  19:28:20,1000.0,mango,10kgs
05-05-26  19:28:20,1000.0,mango,10kgs
05-05-26  19:28:20,1000.0,mango,10kgs
05-05-26  20:10:40,5203.0,cloths,zara
05-05-26  20:10:40,5203.0,cloths,zara
05-05-26  20:11:55,5020.0,zara,cloths
05-05-26  20:11:55,5020.0,zara,cloths
05-05-26  20:55:41,5500.0,chicken,protin]
